,OBJECTID,LON,LAT,CLASS,HEIGHT,TYPE,SpanLength,geometry,Pf_PrePole
202,7030,-94.90946693,29.22763346,,,2,95.68944866,POINT (-10565273.530108636 3404650.6994659),0.04
203,7031,-94.90983863,29.22694149,,,2,96.38936176,POINT (-10565314.907563364 3404562.432405979),0.04
204,7032,-94.90993524,29.22732967,,,2,86.06735065,POINT (-10565325.662139371 3404611.948218077),0.04
205,7033,-94.91023655,29.22717855,,,2,129.4081739,POINT (-10565359.20381514 3404592.67149546),0.04
206,7034,-94.90995743,29.22684844,,,2,80.08960857,POINT (-10565328.132318873 3404550.5630786307),0.04
207,7035,-94.91047406,29.22654302,,,2,126.3113635,POINT (-10565385.643307399 3404511.604208069),0.04
208,7097,-94.92511002,29.21704567,,,2,78.5714207,POINT (-10567014.910921872 3403300.1959080207),0.04
209,10097,-94.79655093,29.30269448,,,2,9.175362907,POINT (-10552703.778486224 3414228.9604258393),0.04
210,10143,-94.80112647,29.30152971,,,2,134.6528514,POINT (-10553213.125269128 3414080.27466223),0.04
211,10156,-94.80442765,29.30067745,,,2,130.5084699,POINT (-10553580.610945744 3413971.482645678),0.04
212,10469,-94.9002834,29.30393876,,,2,29.3139045,POINT (-10564251.224225353 3414387.797711155),0.04
213,10470,-94.90046846,29.30444297,,,2,31.02098802,POINT (-10564271.825010318 3414452.1626720116),0.04
214,10471,-94.90012495,29.30425346,,,2,38.45575622,POINT (-10564233.585652038 3414427.970723154),0.04
215,10472,-94.89978054,29.30407362,,,2,40.69223156,POINT (-10564195.246106213 3414405.0132422196),0.04
216,12346,-94.85228385,29.26450887,,,2,43.90036135,POINT (-10558907.938761046 3409355.3563637026),0.04
217,12347,-94.8524513,29.26482663,,,2,41.86154542,POINT (-10558926.57920978 3409395.9043482253),0.04
218,12348,-94.8526538,29.26522029,,,2,42.83449551,POINT (-10558949.121406665 3409446.1377794896),0.04
219,12349,-94.85282994,29.26554825,,,2,51.51600773,POINT (-10558968.729221774 3409487.9876353415),0.04
220,12350,-94.85310957,29.26605853,,,2,43.55762691,POINT (-10558999.857490983 3409553.1029908224),0.04
221,12351,-94.85321491,29.2662839,,,2,58.72479088,POINT (-10559011.583886145 3409581.861908396),0.04
222,12352,-94.85333737,29.26649672,,,2,58.35116369,POINT (-10559025.216070987 3409609.0194091885),0.04
223,12357,-94.8535269,29.26683259,,,2,23.68525028,POINT (-10559046.314454077 3409651.879169867),0.04
224,12358,-94.85378696,29.2672952,,,2,42.57466281,POINT (-10559075.264200853 3409710.912222276),0.04
225,12369,-94.85427932,29.26828389,,,2,67.12054189,POINT (-10559130.07346534 3409837.0785456477),0.04
226,12370,-94.85357719,29.26856571,,,2,80.49481159,POINT (-10559051.912711268 3409873.0417031497),0.04
227,12390,-94.85283877,29.2688854,,,2,83.43541191,POINT (-10558969.712172877 3409913.8375857873),0.04
