,OBJECTID,LON,LAT,CLASS,HEIGHT,TYPE,SpanLength,geometry,Pf_Pole_VS,Pf_Pole_S,Pf_Pole_M
14848,15204,-94.80989011,29.29923617,5,30,1,25.51110923,POINT (-10554188.689211423 3413787.503582433),0.024047815,0.027696345,0.046134219
14849,15205,-94.80971745,29.29928581,5,30,1,9.644695322,POINT (-10554169.468788143 3413793.840073926),0.021225121,0.02414598,0.039756906
14850,15206,-94.80903729,29.29958483,4,40,1,44.05642692,POINT (-10554093.753723286 3413832.0097137634),0.021003492,0.025825487,0.044396908
14851,15207,-94.80846002,29.2997394,4,40,1,44.55492017,POINT (-10554029.492320836 3413851.740482056),0.018342498,0.022570885,0.039585267
14852,15208,-94.80833664,29.30002938,4,40,1,8.555481279,POINT (-10554015.757722061 3413888.7563366555),0.013980894,0.017274517,0.029566049
14853,15209,-94.80838984,29.30019206,4,40,1,7.738725664,POINT (-10554021.679918973 3413909.5224328507),0.013895205,0.017170976,0.029371537
14854,15210,-94.80847184,29.30038948,4,40,1,9.954700811,POINT (-10554030.808117216 3413934.7231332473),0.01412894,0.01745345,0.029902348
14855,15211,-94.80856349,29.30066938,4,40,1,23.71140397,POINT (-10554041.010548549 3413970.4525047885),0.019417895,0.023877871,0.039648428
14856,15212,-94.80823357,29.3007547,4,40,1,32.4859128,POINT (-10554004.284022145 3413981.3436638894),0.023323989,0.028743926,0.048261823
14857,15213,-94.8079819,29.30082275,4,40,1,25.27756241,POINT (-10553976.268245898 3413990.030301647),0.022110789,0.027261059,0.045588382
14858,15214,-94.80801986,29.30092335,4,40,1,4.120687545,POINT (-10553980.493933767 3414002.8719839416),0.018905505,0.023359447,0.038575015
14859,15215,-94.80805317,29.30104787,4,40,1,1.949325855,POINT (-10553984.201986006 3414018.7670937064),0.018604345,0.022994033,0.037920225
14860,15216,-94.80758736,29.30091853,4,40,1,31.05928482,POINT (-10553932.348254 3414002.2567062303),0.02307866,0.028443791,0.047720456
14861,15217,-94.8078199,29.30086311,4,40,1,22.03678869,POINT (-10553958.234488389 3413995.1822911557),0.021586309,0.026621049,0.044435625
14862,15218,-94.80726383,29.30100327,4,40,1,33.33916765,POINT (-10553896.333059143 3414013.0738542825),0.009475798,0.011670711,0.021305436
14863,15219,-94.80661569,29.30115806,4,40,1,30.04709728,POINT (-10553824.18244438 3414032.8329799753),0.00924353,0.011391064,0.020739647
14864,15220,-94.80645255,29.30121017,4,40,1,12.32180485,POINT (-10553806.021782653 3414039.48488955),0.021346363,0.026376457,0.04386779
14865,15221,-94.80639511,29.3012224,4,40,1,7.259259971,POINT (-10553799.6275911 3414041.0460655186),0.02055608,0.025413798,0.042137966
14866,15222,-94.80632258,29.30123989,4,40,1,16.93440471,POINT (-10553791.553588435 3414043.278687896),0.022093104,0.027287322,0.045506403
14867,15223,-94.80609194,29.3013075,4,40,1,16.58223403,POINT (-10553765.878861077 3414051.9092002925),0.022035172,0.027216613,0.045379142
14868,15224,-94.80602572,29.30132312,4,40,1,12.59737589,POINT (-10553758.507284397 3414053.9031162593),0.017802311,0.022036207,0.037629947
14869,15225,-94.80586642,29.30137012,4,40,1,44.21590478,POINT (-10553740.774089513 3414059.902737209),0.022522617,0.027812948,0.048419868
14870,15226,-94.80523414,29.30154283,4,40,1,56.09957894,POINT (-10553670.389001874 3414081.949453146),0.023676039,0.029194613,0.050819955
14871,15227,-94.80501765,29.30169598,4,40,1,4.659172515,POINT (-10553646.289445313 3414101.499334071),0.01616763,0.020012206,0.033772818
14872,15228,-94.80509863,29.30193568,4,40,1,9.20266434,POINT (-10553655.304097679 3414132.0975415367),0.016720408,0.020683344,0.035010617
14873,15229,-94.8051775,29.30217427,4,40,1,6.802242713,POINT (-10553664.083865916 3414162.554126519),0.016426018,0.020325828,0.034350999
14874,15230,-94.80663153,29.29966417,4,40,1,3.870198617,POINT (-10553825.945745114 3413842.1374137034),0.005557715,0.006894892,0.012544412
14875,15231,-94.80656225,29.29968417,4,40,1,12.01564954,POINT (-10553818.233530793 3413844.690402073),0.005910957,0.007316467,0.013412016
14876,15232,-94.80643696,29.29971363,4,40,1,10.95314145,POINT (-10553804.28631179 3413848.450954854),0.005435835,0.006728501,0.012320828
14877,15233,-94.80636615,29.29973297,4,40,1,19.94843939,POINT (-10553796.40377865 3413850.919695796),0.005818424,0.00718473,0.013265623
14878,15234,-94.80654228,29.29974215,4,40,1,24.29414726,POINT (-10553816.010480562 3413852.0915181856),0.006487318,0.008005113,0.014839131
14879,15235,-94.80638088,29.29977314,4,40,1,24.66768546,POINT (-10553798.043514749 3413856.0473769),0.006030038,0.007437277,0.013791025
14880,15236,-94.80610066,29.29985888,4,40,1,20.23455171,POINT (-10553766.849567037 3413866.9920532494),0.005831035,0.007199776,0.013296878
14881,15237,-94.80601863,29.29987341,4,40,1,15.48970204,POINT (-10553757.718029207 3413868.8468027883),0.005625461,0.006954571,0.012788265
14882,15238,-94.80582333,29.29992341,4,40,1,20.35759468,POINT (-10553735.977332655 3413875.229287733),0.005836466,0.007206256,0.013310342
14883,15239,-94.80607983,29.29980673,4,40,1,20.89805815,POINT (-10553764.530782044 3413860.33512573),0.005860387,0.007234798,0.013369654
14884,15240,-94.805992,29.29982717,4,40,1,4.905148455,POINT (-10553754.753591169 3413862.944283494),0.005193143,0.006439305,0.011725073
14885,15241,-94.80608617,29.29846454,5,30,1,26.94057247,POINT (-10553765.236547615 3413689.0062563377),0.006751509,0.007236188,0.012857688
