FID,FID_Road_n,NAME,x_start,y_start,x_end,y_end,xy_start,xy_end,start_node,end_node,StartNode2,EndNode2,length,NEAR_FID,NEAR_DIST,ORIG_FID,NEAR_X,NEAR_Y,water_dist,Lon,Lat
112,0,,3264406.3234,13689658.0539,3264870.84872,13689243.4763,"3264406.3234,13689658.0539","3264870.84872,13689243.4763",83,79,84,80,622.622151098,125,36403.6376158,112,3283156.30162,13658108.7958,11095.8287453,-94.93123,29.32829
113,47,IH 45,3264406.3234,13689658.0539,3264790.85446,13689415.3034,"3264406.3234,13689658.0539","3264790.85446,13689415.3034",83,80,84,81,454.743814649,125,36497.9523093,113,3283156.30162,13658108.7958,11124.5758639,-94.93135,29.32853
114,0,,3264490.40525,13690931.2069,3264562.49873,13689824.8635,"3264490.40525,13690931.2069","3264562.49873,13689824.8635",84,85,85,86,1108.97488742,125,37263.1559625,114,3283204.5237,13658137.1811,11357.8099374,-94.9315,29.33085
115,0,,3264562.49873,13689824.8635,3264790.85446,13689415.3034,"3264562.49873,13689824.8635","3264790.85446,13689415.3034",85,80,86,81,484.040942676,125,36531.7946865,115,3283162.87312,13658112.664,11134.8910204,-94.93124,29.32869
116,47,IH 45,3265500.91537,13689028.8275,3264562.49873,13689824.8635,"3265500.91537,13689028.8275","3264562.49873,13689824.8635",81,85,82,86,1230.56863044,125,36184.1728604,116,3283204.5237,13658137.1811,11028.9358878,-94.93,29.32819
117,45,HWY 6,3264870.84872,13689243.4763,3263094.95435,13689980.513,"3264870.84872,13689243.4763","3263094.95435,13689980.513",79,86,80,87,1952.49154701,125,36969.5145862,117,3283156.30162,13658108.7958,11268.3080459,-94.93309,29.32917
118,45,HWY 6,3263094.95435,13689980.513,3262779.90047,13689991.9778,"3263094.95435,13689980.513","3262779.90047,13689991.9778",86,88,87,89,315.27570331,125,37749.080599,118,3283156.30162,13658108.7958,11505.9197666,-94.93651,29.32992
119,0,,3263394.0167,13690266.8893,3262779.90047,13689991.9778,"3263394.0167,13690266.8893","3262779.90047,13689991.9778",87,88,88,89,679.038904812,125,37776.1177688,119,3283156.30162,13658108.7958,11514.1606959,-94.93601,29.33027
120,0,,3264490.40525,13690931.2069,3262561.7057,13690182.8249,"3264490.40525,13690931.2069","3262561.7057,13690182.8249",84,89,85,90,2312.8005698,125,37574.5658039,120,3283156.30162,13658108.7958,11452.727657,-94.93413,29.33057
121,45,HWY 6,3262779.90047,13689991.9778,3262235.39238,13690209.3911,"3262779.90047,13689991.9778","3262235.39238,13690209.3911",88,104,89,105,597.20933671,125,38048.2386314,121,3283156.30162,13658108.7958,11597.1031349,-94.9379,29.33016
